MODALIDADE,SITUACAO_CONTA,QTD_TA,EMENDAS,QTD_PRORROGA,UF_PROPONENTE,PERC_CONTRA,PERC_REPASSE,SITUACAO_PROJETO_BASICO,PERC_DESEMBOLSADO,QTDE_CONVENIOS,TARGET
CONVENIO,Regularizada,0.0,0.0,1.0,MA,0.019999999465843,0.980000022790698,Aprovado,0.490000011395349,1,1
CONVENIO,Regularizada,0.0,1.0,2.0,PA,0.0214124128547043,0.978587560336638,Em Análise,0.978587560336638,1,1
CONVENIO,Erro na Abertura de Conta,2.0,0.0,5.0,RS,0.0390144943639703,0.960985490620631,Aprovado,0.604187914706532,1,1
CONVENIO,Regularizada,1.0,0.0,1.0,GO,0.0607704412573724,0.939229558742628,Em Análise,0.469614779371314,1,1
CONVENIO,Regularizada,0.0,1.0,1.0,RJ,0.21259842519685,0.78740157480315,Aprovado,0.78740157480315,1,1
CONVENIO,Regularizada,0.0,1.0,3.0,AC,0.024199843871975,0.975800156128025,Aprovado,0.975800156128025,1,1
CONVENIO,Regularizada,0.0,1.0,2.0,GO,0.02,0.98,Não Cadastrado,0.3260880078125,1,1
CONVENIO,Regularizada,1.0,0.0,0.0,BA,0.0205504587155963,0.979449541284404,Em Análise,0.730363818807339,1,1
CONVENIO,Regularizada,0.0,1.0,4.0,AP,0.020141535111595,0.979858464888405,Aprovado,0.979858464888405,1,1
CONVENIO,Regularizada,0.0,1.0,2.0,AC,0.0200881920627144,0.979911807937286,Aprovado,0.979911807937286,1,1
CONVENIO,Regularizada,0.0,1.0,1.0,AC,0.0200017639968248,0.979998236003175,Aprovado,0.979998236003175,1,1
CONVENIO,Regularizada,0.0,1.0,2.0,AC,0.0219201767812041,0.978079825129108,Aprovado,0.978079825129108,1,1
CONVENIO,Regularizada,1.0,1.0,3.0,AC,0.0200081665986117,0.979991833401388,Aprovado,0.979991833401388,1,1
CONVENIO,Regularizada,0.0,1.0,2.0,AC,0.0204365533858702,0.979563429395241,Aprovado,0.979563429395241,1,1
CONVENIO,Regularizada,1.0,1.0,4.0,AC,0.0200041649822988,0.979995835017701,Aprovado,0.979995835017701,1,1
CONVENIO,Regularizada,0.0,1.0,3.0,AC,0.0200308166409861,0.979969183359014,Aprovado,0.979969183359014,1,1
CONVENIO,Regularizada,1.0,1.0,3.0,AC,0.0200004382073961,0.979999561792604,Aprovado,0.979999561792604,1,1
CONVENIO,Regularizada,0.0,1.0,2.0,AC,0.02,0.98,Aprovado,0.98,1,1
CONVENIO,Regularizada,0.0,0.0,0.0,MS,0.1,0.9,Aprovado,0.9,1,1
CONVENIO,Regularizada,0.0,1.0,2.0,RO,0.0234375,0.9765625,Aprovado,0.9765625,1,1
CONVENIO,Regularizada,0.0,1.0,4.0,RR,0.0215264187866928,0.978473581213307,Aprovado,0.978473581213307,1,1
CONVENIO,Regularizada,0.0,1.0,2.0,AC,0.0201842053693906,0.979815794630609,Aprovado,0.979815794630609,1,1
CONVENIO,Regularizada,0.0,1.0,1.0,AC,0.0201842053693906,0.979815794630609,Aprovado,0.979815794630609,1,1
CONVENIO,Regularizada,0.0,1.0,3.0,RR,0.02000000006125,0.979999964720001,Aprovado,0.979999964720001,1,1
CONVENIO,Regularizada,0.0,1.0,3.0,RR,0.0204666096812917,0.979533384579255,Aprovado,0.979533384579255,1,1
CONVENIO,Regularizada,0.0,1.0,4.0,RR,0.0199999964781251,0.979999976725,Aprovado,0.979999976725,1,1
CONVENIO,Regularizada,0.0,1.0,2.0,RO,0.0200195996080078,0.979980400391992,Aprovado,0.979980400391992,1,1
CONVENIO,Regularizada,0.0,1.0,4.0,RR,0.0250000041894532,0.975000024375001,Aprovado,0.975000024375001,1,1
CONVENIO,Regularizada,0.0,1.0,4.0,RO,0.0205680705190989,0.979431929480901,Aprovado,0.979431929480901,1,1
CONVENIO,Regularizada,0.0,1.0,4.0,RR,0.0200881920627144,0.979911807937286,Aprovado,0.979911807937286,1,1
CONVENIO,Regularizada,0.0,1.0,4.0,AM,0.024390243902439,0.975609756097561,Aprovado,0.975609756097561,1,1
CONVENIO,Regularizada,0.0,1.0,2.0,AM,0.0200881920627144,0.979911807937286,Aprovado,0.489955903968643,1,1
CONVENIO,Regularizada,0.0,1.0,1.0,AM,0.0215264187866928,0.978473581213307,Aprovado,0.978473581213307,1,1
CONVENIO,Regularizada,0.0,1.0,1.0,AM,0.0215264187866928,0.978473581213307,Aprovado,0.978473581213307,1,1
CONVENIO,Regularizada,0.0,1.0,2.0,RR,0.0217391304347826,0.978260869565217,Aprovado,0.978260869565217,1,1
CONVENIO,Regularizada,0.0,1.0,4.0,RR,0.0200017639968248,0.979998236003175,Aprovado,0.979998236003175,1,1
CONVENIO,Regularizada,0.0,1.0,4.0,AM,0.0476190476190476,0.952380952380952,Aprovado,0.476190476190476,1,1
CONVENIO,Regularizada,1.0,0.0,0.0,PA,0.0432473575864515,0.956752642413549,Aprovado,0.956752642413549,1,1
CONVENIO,Regularizada,0.0,1.0,4.0,AM,0.024390243902439,0.975609756097561,Aprovado,0.975609756097561,1,1
